Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,state,gender,age,pid_3 - Selected Choice,pid_3 - Other (please specify) - Text,pid_rep,pid_dem,pid_ind,pol_interest,ft_dems,ft_reps,We'd like to understand how you think various measures of the economy performed in 2019.When answ - The nation's economy,We'd like to understand how you think various measures of the economy performed in 2019.When answ - The level of unemployment,We'd like to understand how you think various measures of the economy performed in 2019.When answ - Inflation,reps_economy - No Name - - Got better,reps_economy - No Name - - Stayed about the same,reps_economy - No Name - - Got worse,dems_economy - No Name - - Got better,dems_economy - No Name - - Stayed about the same,dems_economy - No Name - - Got worse,reps_unemployment - No Name - - Got better,reps_unemployment - No Name - - Stayed about the same,reps_unemployment - No Name - - Got worse,dems_unemployment - No Name - - Got better,dems_unemployment - No Name - - Stayed about the same,dems_unemployment - No Name - - Got worse,reps_inflation - No Name - - Got better,reps_inflation - No Name - - Stayed about the same,reps_inflation - No Name - - Got worse,dems_inflation - No Name - - Got better,dems_inflation - No Name - - Stayed about the same,dems_inflation - No Name - - Got worse,gop_unemployment,gop_inflation,obama_unemployment,obama_inflation,trump_masks,latino,race - Selected Choice,race - Other - Text,education,sleep,prosthetic,blind,deaf,gang,family_gang,hits,date,sincerity,randomization_1
6/29/20 10:48,6/29/20 10:51,0,172.101.75.133,100,124,1,6/29/20 10:51,R_broJYz5hiQFILx7,,,,,43.02400208,-78.75319672,anonymous,EN,1,33,1,4,1,,,1,,10,5,0,5,5,5,60,30,10,0,50,50,70,30,0,0,50,50,70,30,0,0,60,40,2,2,,,5,2,1,,5,4,2,2,2,2,2,4,6/29/20,1,congress
6/29/20 10:51,6/29/20 10:51,0,68.32.223.215,100,18,1,6/29/20 10:52,R_veGuztOKLKtUp45,,,,,42.27890015,-85.69039917,anonymous,EN,1,23,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/20 10:49,6/29/20 10:52,0,172.58.22.226,100,151,1,6/29/20 10:52,R_2sZq1lI5yVHen5q,,,,,33.84049988,-117.9525986,anonymous,EN,1,3,1,4,2,,1,,,5,5,5,4,4,4,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,2,2,,,2,2,1,,8,2,2,1,1,2,2,1,6/29/20,3,congress
6/29/20 10:49,6/29/20 10:52,0,24.178.44.124,100,183,1,6/29/20 10:52,R_3j0QOXjiHGPr9C7,,,,,42.56199646,-89.08599854,anonymous,EN,1,51,1,6,1,,,1,,10,10,0,1,1,1,100,0,0,80,0,20,100,0,0,100,0,0,100,0,0,80,0,20,1,1,,,1,2,1,,3,3,2,2,2,2,2,4,6/29/20,1,congress
6/29/20 10:49,6/29/20 10:52,0,69.115.186.150,100,190,1,6/29/20 10:52,R_R1SMUiZrNiMOk93,,,,,41.09109497,-73.91989899,anonymous,EN,1,33,2,4,1,,,2,,6,5,5,4,4,4,50,50,0,,50,30,100,0,0,0,50,50,0,100,0,0,100,0,,,2,2,2,2,1,,8,3,2,2,2,2,2,4,6/29/20,1,obama
6/29/20 10:49,6/29/20 10:52,0,69.62.201.116,100,223,1,6/29/20 10:52,R_11cQKQ4oyK93gqw,,,,,38.76800537,-121.3348999,anonymous,EN,1,5,2,4,3,,,,2,3,7,4,5,5,4,50,0,50,20,10,70,0,20,80,0,10,90,0,100,0,0,100,0,,,1,1,5,2,1,,5,3,2,2,1,2,2,2,6/29/20,1,obama
6/29/20 10:48,6/29/20 10:52,0,98.33.16.76,100,238,1,6/29/20 10:52,R_1MJDaLQ9vlUbVQJ,,,,,37.5428009,-122.2971039,anonymous,EN,1,5,1,5,2,,1,,,7,2,3,1,4,5,50,10,40,60,20,20,30,40,30,50,40,10,60,20,20,50,40,10,2,1,,,5,2,1,,5,3,1,2,2,2,2,1,6/29/20,4,congress
6/29/20 10:49,6/29/20 10:53,0,72.177.10.130,100,230,1,6/29/20 10:53,R_OJ5XK2Ui9tX3Crn,,,,,30.40319824,-97.75299835,anonymous,EN,1,45,2,4,1,,,1,,9,9,2,4,4,4,80,15,5,40,30,30,80,15,5,30,35,35,20,45,35,10,60,30,2,2,,,0,1,1,,3,3,2,2,2,2,2,4,6/29/20,2,congress
6/29/20 10:50,6/29/20 10:53,0,98.111.207.14,100,168,1,6/29/20 10:53,R_ZglOlWHrhRaErv3,,,,,40.36849976,-80.05039978,anonymous,EN,1,39,2,3,2,,1,,,7,5,5,1,4,4,50,50,0,50,50,0,50,50,0,50,50,0,50,50,0,50,50,0,2,1,,,0,2,1,,4,3,2,2,2,2,2,2,6/29/20,1,congress
6/29/20 10:49,6/29/20 10:53,0,69.76.135.165,100,222,1,6/29/20 10:53,R_3ERzCX992igThIO,,,,,39.06669617,-94.91970062,anonymous,EN,1,17,1,3,2,,1,,,9,2,9,1,1,1,40,30,30,45,25,30,50,30,20,40,25,35,60,30,10,25,50,25,2,2,,,0,2,1,,3,3,2,2,2,2,2,4,6/29/20,1,congress
